FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
coment	coment						
li	li						
roi	roi						
priant	priant						
jousta	jousta						
un	un						
parlament	parlament						
dedenz	dedenz						
la	la						
cité	cité						
quant	quant						
li	li						
roi	roi						
priant	priant						
vit	vit						
sa	sa						
cité	cité						
ensi	ensi						
atornee	atornee						
et	et						
fete	fete						
par	par						
si	si						
mervoilleuse	mervoilleuse						
maestrie	maestrie						
.	.						
il	il						
en	en						
fu	fu						
aleigre	aleigre						
sor	sor						
tos	tos						
autres	autres						
.	.						
adonc	adonc						
li	li						
senbla	senbla						
estre	estre						
eslevés	eslevés						
et	et						
creüs	creüs						
en	en						
autesse	autesse						
.	.						
si	si						
ne	ne						
poit	poit						
hoblié	hoblié						
la	la						
grant	grant						
honte	honte						
et	et						
le	le						
lait	lait						
damaje	damaje						
qe	qe						
les	les						
gresois	gresois						
li	li						
avoient	avoient						
fet	fet						
de	de						
son	son						
pere	pere						
et	et						
de	de						
sa	sa						
mere	mere						
.	.						
et	et						
de	de						
son	son						
lignaje	lignaje						
et	et						
de	de						
sa	sa						
cité	cité						
.	.						
si	si						
ajousta	ajousta						
adonc	adonc						
un	un						
grant	grant						
parlement	parlement						
.	.						
là_où	là_où						
il	il						
fist	fist						
venir	venir						
tot	tot						
le	le						
miels	miels						
de	de						
sa	sa						
gent	gent						
.	.						
tos	tos						
ses	ses						
fils	fils						
i	i						
furent	furent						
fors	fors						
hector	hector						
seulement	seulement						
.	.						
q’	q’						
il	il						
avoit	avoit						
tramis	tramis						
en	en						
le	le						
partie	partie						
de	de						
palone	palone						
por	por						
lor	lor						
grant	grant						
besoigne	besoigne						
achever	achever						
.	.						
et	et						
quant	quant						
les	les						
sajes	sajes						
homes	homes						
furent	furent						
au	au						
parlement	parlement						
asenblés	asenblés						
.	.						
li	li						
roi	roi						
consoilla	consoilla						
ho	ho						
els	els						
ensi_com	ensi_com						
il	il						
dut	dut						
.	.						
en	en						
tel	tel						
mainiere	mainiere						
com	com						
je	je						
vos	vos						
dirai	dirai						
.	.						
coment	coment						
li	li						
roi	roi						
parla	parla						
entre	entre						
ses	ses						
barons	barons						
.	.						
biau	biau						
seignors	seignors						
.	.						
fist	fist						
li	li						
roi	roi						
.	.						
entendés	entendés						
à	à						
moi	moi						
.	.						
qi	qi						
vos	vos						
.	.						
qi	qi						
fois	fois						
et	et						
loiauté	loiauté						
me	me						
portés	portés						
.	.						
vos	vos						
savés	savés						
bien	bien						
coment	coment						
les	les						
gresois	gresois						
vindrent	vindrent						
en	en						
cestui	cestui						
païs	païs						
et	et						
la	la						
grant	grant						
desconfiture	desconfiture						
q’	q’						
il	il						
firent	firent						
de	de						
nostre	nostre						
gent	gent						
et	et						
coment	coment						
il	il						
hocistrent	hocistrent						
mon	mon						
pere	pere						
et	et						
ma	ma						
mere	mere						
et	et						
mes	mes						
serors	serors						
.	.						
et	et						
puis	puis						
enmenerent	enmenerent						
ma	ma						
suor	suor						
esionan	esionan						
en	en						
servaje	servaje						
.	.						
si	si						
ne	ne						
l’	l’						
a	a						
talemon	talemon						
volue	volue						
prendre	prendre						
à	à						
feme	feme						
.	.						
aprés	aprés						
savés	savés						
coment	coment						
il	il						
destruissent	destruissent						
nostre	nostre						
cité	cité						
et	et						
degasterent	degasterent						
.	.						
por	por						
toutes	toutes						
ses	ses						
chouses	chouses						
vos	vos						
fais	fais						
à	à						
savoir	savoir						
qe	qe						
mon	mon						
cuer	cuer						
est	est						
en	en						
doulor	doulor						
et	et						
en	en						
tristesse	tristesse						
.	.						
et	et						
ensi	ensi						
demora	demora						
tot	tot						
les	les						
jors	jors						
de	de						
ma	ma						
vie	vie						
se	se						
vengiance	vengiance						
nen	nen						
est	est						
prise	prise						
.	.						
et	et						
por	por						
se	se						
.	.						
biaus	biaus						
seignors	seignors						
.	.						
je	je						
ai	ai						
pensés	pensés						
demander	demander						
qerre	qerre						
ma	ma						
suor	suor						
ensionan	ensionan						
en	en						
grese	grese						
.	.						
et	et						
.	.						
c’	c’						
il	il						
avient	avient						
q’	q’						
il	il						
la	la						
m’	m’						
en	en						
voillent	voillent						
rendre	rendre						
.	.						
de	de						
part	part						
diex	diex						
soit	soit						
.	.						
et	et						
se	se						
rendre	rendre						
ne	ne						
la	la						
me	me						
voudront	voudront						
.	.						
si	si						
penserons	penserons						
entre	entre						
vos	vos						
et	et						
mes	mes						
fils	fils						
et	et						
moi	moi						
et	et						
consoillerons	consoillerons						
dou	dou						
guerroier	guerroier						
ou	ou						
dou	dou						
laisier	laisier						
.	.						
.	.						
coment	coment						
tos	tos						
loerent	loerent						
le	le						
conseil	conseil						
qe	qe						
li	li						
roi	roi						
ot	ot						
doné	doné						
les	les						
fils	fils						
li	li						
roi	roi						
et	et						
les	les						
autres	autres						
barons	barons						
qi	qi						
au	au						
parlement	parlement						
estoient	estoient						
loerent	loerent						
mult	mult						
cestui	cestui						
consoil	consoil						
et	et						
distrent	distrent						
qe	qe						
ce	ce						
estoit	estoit						
bon	bon						
afer	afer						
sans	sans						
targier	targier						
.	.						
si	si						
eslist	eslist						
li	li						
roi	roi						
un	un						
sien	sien						
barons	barons						
qi	qi						
mult	mult						
estoit	estoit						
saje	saje						
et	et						
riche	riche						
et	et						
vaillant	vaillant						
.	.						
et	et						
mult	mult						
savoit	savoit						
de	de						
plait	plait						
et	et						
de	de						
loi	loi						
.	.						
qi	qi						
athenor	athenor						
estoit	estoit						
apellés	apellés						
.	.						
celui	celui						
apella	apella						
li	li						
roi	roi						
et	et						
dist	dist						
en	en						
tel	tel						
mainiere	mainiere						
.	.						
.	.						
biau	biau						
sire	sire						
athenor	athenor						
.	.						
aler	aler						
vos	vos						
convient	convient						
en	en						
grese	grese						
ma	ma						
suor	suor						
esionan	esionan						
reqerre	reqerre						
et	et						
demander	demander						
de_part	de_part						
moi	moi						
à	à						
celui	celui						
qu’	qu’						
il	il						
la	la						
tient	tient						
.	.						
por	por						
tel	tel						
convenant	convenant						
.	.						
qe	qe						
.	.						
c’	c’						
il	il						
me	me						
la	la						
rent	rent						
.	.						
qe	qe						
je	je						
li	li						
qit	qit						
tos	tos						
tors	tors						
et	et						
tos	tos						
les	les						
hontes	hontes						
et	et						
les	les						
damajes	damajes						
q’	q’						
il	il						
m’	m’						
ont	ont						
fet	fet						
de	de						
mon	mon						
pere	pere						
et	et						
de	de						
ma	ma						
mere	mere						
et	et						
de	de						
mes	mes						
suor	suor						
hocire	hocire						
.	.						
et	et						
de	de						
ma	ma						
gent	gent						
et	et						
de	de						
ma	ma						
terre	terre						
q’	q’						
il	il						
destruistrent	destruistrent						
.	.						
si	si						
lor	lor						
metés	metés						
jor	jor						
et	et						
terme	terme						
dou	dou						
rendre	rendre						
et	et						
puis	puis						
vos	vos						
en	en						
retornés	retornés						
.	.						
.	.						
coment	coment						
athenor	athenor						
ala	ala						
en	en						
grese	grese						
por	por						
le	le						
commandament	commandament						
le	le						
roi	roi						
et	et						
coment	coment						
il	il						
esploita	esploita						
athenor	athenor						
respondi	respondi						
au	au						
roi	roi						
qe	qe						
.	.						
puis	puis						
qu’	qu’						
il	il						
le	le						
comande	comande						
d’	d’						
aler	aler						
.	.						
il	il						
le	le						
fera	fera						
à	à						
son	son						
poïr	poïr						
.	.						
si	si						
cuide	cuide						
qe	qe						
por	por						
mesaje	mesaje						
ne	ne						
perdra	perdra						
il	il						
ja	ja						
noiant	noiant						
de	de						
sa	sa						
besoigne	besoigne						
.	.						
li	li						
roi	roi						
l’	l’						
en	en						
mertia	mertia						
mult	mult						
.	.						
puis	puis						
li	li						
a	a						
fet	fet						
aparoillier	aparoillier						
une	une						
mult	mult						
riche	riche						
nef	nef						
.	.						
cele	cele						
nuit	nuit						
se	se						
recoilli	recoilli						
athenor	athenor						
desus	desus						
et	et						
se	se						
mist	mist						
à	à						
la	la						
voie	voie						
.	.						
il	il						
ot	ot						
bon	bon						
vent	vent						
et	et						
droiturier	droiturier						
qi	qi						
tost	tost						
le	le						
porta	porta						
là_où	là_où						
il	il						
voloit	voloit						
aler	aler						
.	.						
car	car						
.	.						
avant	avant						
qe	qe						
la	la						
semaine	semaine						
fust	fust						
passee	passee						
.	.						
ariva	ariva						
il	il						
ho	ho						
sa	sa						
nef	nef						
à	à						
manasse	manasse						
.	.						
où	où						
il	il						
trova	trova						
pelleus	pelleus						
le	le						
recoilli	recoilli						
bien	bien						
et	et						
cortoisement	cortoisement						
et	et						
sa	sa						
gent	gent						
ausi	ausi						
.	.						
si	si						
les	les						
sejorna	sejorna						
trois	trois						
jors	jors						
bien	bien						
et	et						
aisieement	aisieement						
.	.						
et	et						
quant	quant						
il	il						
orent	orent						
ensi	ensi						
sejorné	sejorné						
.	.						
pelleus	pelleus						
.	.						
