FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
coment	coment	coment	QUOMODO		ADV		Int
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
priant	priant	Priam			PROPN		Masc,Sing,Nom
jousta	jousta	joster	*JUXTARE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
un	un	un	UNUS		DET		ArtIndef,Masc,Sing
parlament	parlament	parlement	PARABOLARE		NOUN		Masc,Sing,Acc
dedenz	dedenz	dedans	DEINTUS		ADP		
la	la	le	ILLE		DET		ArtDef,Fem,Sing
cité	cité	cité	CIVITAS		NOUN		Fem,Sing
quant	quant	cant1	QUANDO		SCONJ		
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
priant	priant	Priam			PROPN		Masc,Sing,Nom
vit	vit	vëoir	VIDERE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
sa	sa	suen	SUUS		DET		Poss,Fem,Sing
cité	cité	cité	CIVITAS		NOUN		Fem,Sing
ensi	ensi	ainsi	SIC		ADV		
atornee	atornee	atorner	TORNARE		VERB		Ind,Part,Past,Sing,Fem
et	et	et	ET		CCONJ		
fete	fete	faire	FACERE		VERB	compTens	Ind,Part,Past,Sing,Fem,MWEs
par	par	par	PER		ADP		
si	si	si	SIC		ADV		
mervoilleuse	mervoilleuse	merveillos	MIRABILIA		ADJ		Fem,Sing
maestrie	maestrie	maistrie	MAGISTER		NOUN		Fem,Sing
.	.						
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
en	en	en1	IN		ADP		
fu	fu	estre1	ESSE		VERB	auxCop	Fin,Ind,Past,3,Sing
aleigre	aleigre	haliegre	ALACER		ADJ		Masc,Sing,Nom
sor	sor	sor2	SUPER		ADP		
tos	tos	tot	TOTUS		DET		Ind,Masc,Sing,Nom
autres	autres	autre	ALTER		PRON		Ind,Masc,Plur,Acc
.	.						
adonc	adonc	adonc	DUNC		ADV		
li	li	le	ILLE		DET		ArtDef,Masc,Sing
senbla	senbla	sembler	SIMILARE		VERB		Fin,Ind,Past,Intr,3,Sing
estre	estre	estre1	ESSE		VERB	auxPass	Ind,Inf,Pres,MWEs
eslevés	eslevés	eslever	LEVARE		VERB	compPass	Ind,Part,Past,Sing,Masc,MWEs
et	et	et	ET		CCONJ		
creüs	creüs	croire	CREDERE		VERB	compPass	Ind,Part,Past,Sing,Masc,MWEs
en	en	en1	IN		ADP		
autesse	autesse	hautece	ALTITIA		NOUN		Fem,Sing
.	.						
si	si	si	SIC		ADV		
ne	ne	ne1	NON		ADV		Neg
poit	poit	pöoir	POSSE		VERB	auxMod	Fin,Ind,Pres,3,Sing
hoblié	hoblié	oblïer 	*OBLITARE		VERB	compTens	Ind,Part,Past,MWEs
la	la	le	ILLE		DET		ArtDef,Fem,Sing
grant	grant	grant	GRANDIS		ADJ		Masc,Sing,Acc
honte	honte	honte	*HAUNIþA		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
le	le	le	ILLE		DET		ArtDef,Masc,Sing
lait	lait	lait2	*LAIþ		ADJ		Masc,Sing,Nom
damaje	damaje	damage	DAMNUM		NOUN		Masc,Sing,Nom
qe	qe	queque	QUID		PRON		Rel,Nom
les	les	le	ILLE		DET		ArtDef,Masc,Plur
gresois	gresois	gregois	GRAECUS		ADJ		Fem,Sing
