a|a|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
abandonance|abandonance||||||
achevee|achevee|achever|CAPUT||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
achevé|achevé|achever|CAPUT||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
adonc|adonc|adonc|DUNC||ADV||
afaire|afaire|afaire|FACERE||NOUN||Masc,Sing,Acc
afer|afer|afaire|FACERE||NOUN||Masc,Sing,Nom
ahornement|ahornement|aornement|ADORNARE||NOUN||Masc,Sing,Acc
ai|ai|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs
alast|alast|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,3,Sing
alee|alee|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
aloit|aloit|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Sing
amenee|amenee|amener|MINARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
amis|amis2|ami|AMICUS||NOUN||Masc,Plur,Acc
andromacha|andromacha|Andromaque|||PROPN||Fem,Sing
annee|annee|ainzné|ANTENATUS||ADJ||Fem,Sing
antenoride|antenoride||||||
apellee|apellee|apeler|APPELLARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
apressés|apressés|apresser|PRESSARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
apris|apris||||||
aprés|aprés1|après|AD PRESSUM||ADV||Tim
archee|archee||||||
as|as|a3|AD||ADP||PrepArt
asaillir|asaillir|assalir|*ASSALIRE||VERB||Ind,Inf,Pres,Act,Trans
asegier|asegier|assegier|SEDICARE||VERB||Ind,Inf,Pres,Act,Trans
asis|asis1|asseoir (TLF)|SEDERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
asise|asise1|asseoir (TLF)|SEDERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
asés|asés|assez|AD SATIS||ADV||
au|au|a3|AD||ADP||PrepArt
ausi|ausi|aussi|SIC||ADV||
ausi_com|ausi_com|aussi|SIC||ADV|Adv|MWEs
aut|aut|haut|ALTUS||ADJ||Masc,Sing,Acc
aute|aute|haut|ALTUS||ADJ||Fem,Sing
autel|autel|autel2|ALTARE||NOUN||Masc,Sing,Acc
autes|autes|haut|ALTUS||ADJ||Fem,Plur
autre|autre5|autre|ALTER||PRON||Ind,Fem,Sing
autre|autre6|autre|ALTER||DET||Ind,Masc,Sing,Acc
autres|autres|autre|ALTER||PRON||Ind,Masc,Plur,Acc
autres|autres2|autre|ALTER||DET||Ind,Masc,Plur,Acc
autres|autres3|autre|ALTER||DET||Ind,Fem,Plur
avant|avant|avant|ABANTE||ADV||
avec|avec|avuec|AB HOC||ADP||
avec|avec1|avuec|AB HOC||ADV||Tim
avironee|avironee2|avironer|VIBRARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
