c|c|cent|CENTUM||NUM||Card
car|car|car|QUARE||SCONJ||
ce|ce|ce1|HOC||PRON||Dem,Neut,Sing,Nom
ce|ce1|ce1|HOC||PRON||Dem,Neut,Sing,Acc
celer|celer|celer|CELARE||VERB||Ind,Inf,Pres,Act,Trans
celui|celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
celui|celui1|cel|ILLE||DET||Dem,Masc,Sing,Acc
celui_qe|celui_qe|cil|ILLE||PRON|SConj |Masc,Sing,Nom,Dem
celui_qi|celui_qi|cil|ILLE||PRON|SConj |Masc,Sing,Nom,Dem,MWEs
cersoit|cersoit|cerchier|CIRCARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
ceste|ceste|cest|ISTE||PRON||Dem,Fem,Sing,Acc
cestui|cestui|cest|ISTE||PRON||Dem,Masc,Sing,Nom
charnels|charnels|charnel2|CARNALIS||ADJ||Masc,Plur,Acc
chersant|chersant|cerchier|CIRCARE||VERB||Ind,Ger,Pres,Act,Trans
chevalier|chevalier|chevalier|CABALLARIUS||NOUN||Masc,Sing,Nom
chouse|chouse|chose|CAUSA||NOUN||Fem,Sing
cité|cité|cité|CIVITAS||NOUN||Fem,Sing
clerc|clerc|clerc|CLERICUS||NOUN||Masc,Sing,Nom
clergie|clergie|clergie|CLERICUS||NOUN||Fem,Sing
clers|clers|clerc|CLERICUS||NOUN||Masc,Plur,Acc
comencement|comencement|comencement|COMINITIARE||NOUN||Masc,Sing,Acc
commencement|commencement|comencement|COMINITIARE||NOUN||Masc,Sing,Acc
conbatant|conbatant|combatre|COMBATTUERE||VERB||Ind,Ger,Pres,Intr
conbatre|conbatre|combatre|COMBATTUERE||VERB||Ind,Inf,Pres,Intr
conquere|conquere|conquérir|CONQUIRERE||VERB||Ind,Inf,Pres,Act,Trans
contés|contés|conter|COMPUTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
cornelius|cornelius|Cornelius|||PROPN||Masc,Sing,Nom
cors|cors|cors1|CORPUS||NOUN||Masc,Sing,Acc
creüz|creüz|croire|CREDERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
croire|croire|croire|CREDERE||VERB||Ind,Inf,Pres,Intr
c’|c’|se|SI||SCONJ||
daire|daire|Daires|||PROPN||Masc,Sing,Nom
danner|danner|damner|DAMNARE||VERB||Ind,Inf,Pres,Act,Trans
de|de|de|DE||ADP||
de_denz|de_denz|dedans|DEINTUS||ADP||
de_la|de_la|de|DE||ADP||PrepArt
dedenz|dedenz|dedans|DEINTUS||ADP||
deesses|deesses|dieuesse|DEUS||NOUN||Fem,Plur
deliter|deliter|delitier|DELECTARE||VERB||Ind,Inf,Pres,Act,Trans
demanois|demanois|demanois|MANUS||ADV||
desiritee|desiritee|desireter|HEREDITARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
