FORMA|FORMAKEY|LEMMA|ETIMO|LANG|POS|FUNCT|MSD
coment|coment|coment|QUOMODO||ADV||Int
priant|priant|Priam|||PROPN||Masc,Sing,Nom
.|.||||||
le|le|le|ILLE||DET||ArtDef,Masc,Sing
fiz|fiz|fil2|FILIUS||NOUN||Masc,Sing,Nom
li|li|le|ILLE||DET||ArtDef,Masc,Sing
roi|roi1|roi|REX||NOUN||Masc,Sing,Acc
laomedon|laomedon1|Laomedon|||PROPN||Masc,Sing,Acc
.|.||||||
nen|nen|non|NON||ADV||Neg
estoit|estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing
adonc|adonc|adonc|DUNC||ADV||
à|à|a3|AD||ADP||
troie|troie|Troie|||PROPN||Fem,Sing
et|et|et|ET||CCONJ||
li|li|le|ILLE||DET||ArtDef,Masc,Sing
duel|duel1|duel|DOLUS||NOUN||Masc,Sing,Acc
q’|q’|queque|QUID||PRON||Rel,Acc
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
fist|fist|faire|FACERE||VERB||Fin,Ind,Past,Intr,3,Sing
quant|quant|cant1|QUANDO||SCONJ||
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
sot|sot|savoir|SAPERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
les|les2|le|ILLE||DET||ArtDef,Fem,Plur
novelles|novelles|novele|NOVELLUS||NOUN||Fem,Plur
de|de|de|DE||ADP||
la|la|le|ILLE||DET||ArtDef,Fem,Sing
destrution|destrution|destructïon|DESTRUERE||NOUN||Fem,Sing
de|de|de|DE||ADP||
la|la|le|ILLE||DET||ArtDef,Fem,Sing
cité|cité|cité|CIVITAS||NOUN||Fem,Sing
.|.||||||
or|or|or4|HORA||ADV||Tim
dit|dit|dire|DICERE||VERB||Fin,Ind,Pres,Intr,3,Sing
li|li|le|ILLE||DET||ArtDef,Masc,Sing
contes|contes|conte2|COMPUTUS||NOUN||Masc,Sing,Nom
qe|qe3|queque|QUID||SCONJ||
li|li|le|ILLE||DET||ArtDef,Masc,Sing
roi|roi|roi|REX||NOUN||Masc,Sing,Nom
laomedon|laomedon|Laomedon|||PROPN||Masc,Sing,Nom
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
un|un|un|UNUS||DET||ArtIndef,Masc,Sing
fiz|fiz1|fil2|FILIUS||NOUN||Masc,Sing,Acc
qui|qui|qui|QUI||PRON||Rel,Nom
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
non|non2|nom|NOMEN||NOUN||Masc,Sing,Acc
priant|priant1|Priam|||PROPN||Masc,Sing,Acc
.|.||||||
celui|celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
priant|priant|Priam|||PROPN||Masc,Sing,Nom
nen|nen|non|NON||ADV||Neg
estoit|estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing
adonc|adonc|adonc|DUNC||ADV||
à|à|a3|AD||ADP||
troie|troie|Troie|||PROPN||Fem,Sing
quant|quant|cant1|QUANDO||SCONJ||
la|la|le|ILLE||DET||ArtDef,Fem,Sing
destrution|destrution|destructïon|DESTRUERE||NOUN||Fem,Sing
fu|fu1|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
fete|fete3|faire|FACERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
car|car|car|QUARE||SCONJ||
son|son|suen|SUUS||DET||Poss,Masc,Sing,Nom
pere|pere|pere2|PATER||NOUN||Masc,Sing,Nom
l’|l’5|le|ILLE||PRON||Prs,3,Masc,Sing,Acc
avoit|avoit1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
envoié|envoié|envoiier|INVIARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
en|en|en1|IN||ADP||
host|host|ost|HOSTIS||NOUN||Masc,Sing,Acc
por|por|por2|PRO||ADP||
asegier|asegier|assegier|SEDICARE||VERB||Ind,Inf,Pres,Act,Trans
un|un|un|UNUS||DET||ArtIndef,Masc,Sing
chastel|chastel|chastel|CASTELLUM||NOUN||Masc,Sing,Acc
.|.||||||
mes|mes|mais1|MAGIS2||CCONJ||
quant|quant|cant1|QUANDO||SCONJ||
à|à|a3|AD||ADP||
cestui|cestui1|cest|ISTE||DET||Dem,Masc,Sing,Acc
priant|priant1|Priam|||PROPN||Masc,Sing,Acc
fu|fu1|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
dit|dit3|dire|DICERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
et|et|et|ET||CCONJ||
conté|conté1|conter|COMPUTARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
ensi_come|ensi_come|ainsi|SIC||ADV|Adv|MWEs
troie|troie|Troie|||PROPN||Fem,Sing
avoit|avoit1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
esté|esté5|estre1|ESSE||VERB|auxPass|Ind,Part,Past,Sing,Fem,MWEs
destruite|destruite|destruire|DESTRUERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
et|et|et|ET||CCONJ||
esillee|esillee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
et|et|et|ET||CCONJ||
por|por|por2|PRO||ADP||
qel|qel|quel1|QUALIS||DET||Int,Fem,Sing
mainiere|mainiere|maniere|MANUARIUS||NOUN||Fem,Sing
.|.||||||
et|et|et|ET||CCONJ||
qe|qe3|queque|QUID||SCONJ||
son|son|suen|SUUS||DET||Poss,Masc,Sing,Nom
pere|pere|pere2|PATER||NOUN||Masc,Sing,Nom
et|et|et|ET||CCONJ||
sa|sa|suen|SUUS||DET||Poss,Fem,Sing
mere|mere|mere|MATER||NOUN||Fem,Sing
avoit|avoit1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
esté|esté5|estre1|ESSE||VERB|auxPass|Ind,Part,Past,Sing,Fem,MWEs
hocis|hocis1|ocire|OCCIDERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
et|et|et|ET||CCONJ||
detrenchés|detrenchés|detrenchier|*TRINICARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
et|et|et|ET||CCONJ||
ses|ses2|suen|SUUS||DET||Poss,Fem,Plur
feroit|feroit|faire|FACERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Sing
ausi|ausi|aussi|SIC||ADV||
fors|fors|fors1|FORAS||ADP||
etsionan|etsionan|Esionam|||PROPN||Fem,Sing
seulement|seulement|solement|SOLUS||ADV||
qe|qe1|queque|QUID||PRON||Rel,Acc
talemon|talemon|Talemon|||PROPN||Masc,Sing,Nom
avoit|avoit1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
menee|menee|mener|MINARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
en|en|en1|IN||ADP||
servaje|servaje|servage|SERVUS||NOUN||Masc,Sing,Acc
.|.||||||
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
en|en2|en2|INDE||PRON||
fu|fu|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing
moult|moult|mout|MULTUS||ADV||
doulent|doulent|dolent|DOLERE||ADJ||Masc,Sing,Nom
et|et|et|ET||CCONJ||
moult|moult|mout|MULTUS||ADV||
corociés|corociés1|corrocier|*CORRUPTUM||VERB|Adj|Ind,Part,Past,Sing,Masc
houtre|houtre|outre1|ULTRA||ADP||
se|se4|ce1|HOC||PRON||Dem,Neut,Sing,Acc
qe|qe|queque|QUID||PRON||Rel,Nom
cuor|cuor1|cuer2|COR||NOUN||Masc,Sing,Nom
d’|d’|de|DE||ADP||
ome|ome|ome|HOMO||NOUN||Masc,Sing,Acc
peüst|peüst|pöoir|POSSE||VERB|auxMod|Fin,Sub,Imp,3,Sing
penser|penser|penser|PENSARE||VERB||Ind,Inf,Pres,Intr
et|et|et|ET||CCONJ||
dire|dire|dire|DICERE||VERB||Ind,Inf,Pres,Intr
.|.||||||
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
comensa|comensa1|comencier|COMINITIARE||VERB||Ind,Part,Past,Act,Trans,3,Sing
son|son1|suen|SUUS||DET||Poss,Masc,Sing,Acc
duel|duel1|duel|DOLUS||NOUN||Masc,Sing,Acc
et|et|et|ET||CCONJ||
sa|sa|suen|SUUS||DET||Poss,Fem,Sing
plainte|plainte|plainte|PLANGERE||NOUN||Fem,Sing
desmesuree|desmesuree|desmesurer|MENSURARE||VERB|Adj|Ind,Part,Past,Sing,Fem
en|en|en1|IN||ADP||
tel|tel6|tel|TALIS||DET||Ind,Fem,Sing
mainiere|mainiere|maniere|MANUARIUS||NOUN||Fem,Sing
.|.||||||
.|.||||||
biau|biau|bel|BELLUS||ADJ||Masc,Sing,Nom
pere|pere|pere2|PATER||NOUN||Masc,Sing,Nom
doux|doux|douz|DULCIS||ADJ||Masc,Sing,Nom
.|.||||||
qe|qe2|queque|QUID||DET||Int
grant|grant2|grant|GRANDIS||ADJ||Masc,Sing,Nom
damaje|damaje|damage|DAMNUM||NOUN||Masc,Sing,Nom
est|est1|estre1|ESSE||VERB|auxCop|Fin,Ind,Pres,3,Sing
il|il2|il|ILLE||PRON||Prs,3,Neut,Sing,Nom
de|de|de|DE||ADP||
vos|vos|vos|VOS||PRON||Prs,2,Plur,Acc
et|et|et|ET||CCONJ||
de|de|de|DE||ADP||
vostre|vostre2|vostre|VESTER||DET||Poss,Fem,Sing
valor|valor|valor|VALOR||NOUN||Fem,Sing
et|et|et|ET||CCONJ||
de|de|de|DE||ADP||
vostre|vostre2|vostre|VESTER||DET||Poss,Fem,Sing
bonté|bonté|bonté|BONITAS||NOUN||Fem,Sing
et|et|et|ET||CCONJ||
